step,threshold,score,prediction,true_label,frozen
12600,0.010048,0.000805,0,0,0
12700,0.010041,0.004856,0,0,0
12800,0.01445,0.000854,0,0,0
12900,0.014354,0.000805,0,0,0
13000,0.014451,0.000805,0,0,0
13100,0.014354,0.000805,0,0,0
13200,0.014354,0.000932,0,0,0
13300,0.014655,0.003131,0,0,0
13400,0.014798,0.000792,0,0,0
13500,0.01651,0.001387,0,0,0
13600,0.014798,0.000805,0,0,0
13700,0.014798,0.002273,0,0,0
13800,0.014798,0.000829,0,0,0
13900,0.014912,0.000896,0,0,0
14000,0.01651,0.000805,0,0,0
14100,0.01651,0.000805,0,0,0
14200,0.01651,0.000794,0,0,0
14300,0.01651,0.000794,0,0,0
14400,0.014822,0.000883,0,0,0
14500,0.014814,0.000805,0,0,0
14600,0.014814,0.00088,0,0,0
14700,0.014452,0.000805,0,0,0
14800,0.014787,0.000805,0,0,0
14900,0.020261,0.006136,0,0,0
15000,0.016634,0.0008,0,0,0
15100,0.02819,0.000805,0,0,0
15200,0.028985,0.000815,0,0,0
15300,0.042524,0.000805,0,0,0
15400,0.042525,0.000805,0,0,0
15500,0.052562,0.000805,0,0,0
15600,0.052562,0.000972,0,0,0
15700,0.052562,0.000805,0,0,0
15800,0.052562,0.000805,0,0,0
15900,0.128571,0.004104,0,0,0
16000,0.133971,0.000805,0,0,0
16100,0.133971,0.000786,0,0,0
16200,0.133971,0.000805,0,0,0
16300,0.133971,0.000805,0,0,0
16400,0.133971,0.000791,0,0,0
16500,0.134281,0.000805,0,0,0
16600,0.134281,0.000805,0,0,0
16700,0.134281,0.000817,0,0,0
16800,0.134281,0.000916,0,0,0
16900,0.134281,0.002295,0,0,0
17000,0.134281,0.000805,0,0,0
17100,0.134281,0.000805,0,0,0
17200,0.134281,0.000805,0,0,0
17300,0.140616,0.148294,1,0,0
17400,0.142594,0.000805,0,0,0
17500,0.142594,0.000805,0,0,0
17600,0.142594,0.000805,0,0,0
17700,0.142594,0.000857,0,0,0
17800,0.142594,0.000821,0,0,0
17900,0.142594,0.000792,0,0,0
18000,0.142594,0.000861,0,0,0
18100,0.142594,0.000805,0,0,0
18200,0.142594,0.000805,0,0,0
18300,0.142594,0.000805,0,0,0
18400,0.142632,0.148294,1,0,0
18500,0.148294,0.00093,0,0,0
18600,0.148294,0.223235,1,1,0
18700,0.218511,0.16564,0,1,1
18800,0.218511,0.218625,1,1,1
18900,0.218511,0.218625,1,1,1
19000,0.218511,0.252747,1,1,1
19100,0.218511,0.202511,0,1,1
19200,0.218511,0.218625,1,1,1
19300,0.218511,0.160186,0,1,1
19400,0.218511,0.389922,1,1,1
19500,0.218511,0.154367,0,1,1
19600,0.218511,0.218625,1,1,1
19700,0.218511,0.250626,1,1,1
19800,0.218511,0.231057,1,1,1
19900,0.218511,0.218625,1,1,1
20000,0.218511,0.218625,1,1,1
20100,0.218511,0.202511,0,1,1
20200,0.218511,0.218625,1,1,1
20300,0.218511,0.218625,1,1,1
20400,0.218511,0.210115,0,1,1
20500,0.218511,0.218625,1,1,1
20600,0.218511,0.210115,0,1,1
20700,0.218511,0.218625,1,1,1
20800,0.218511,0.202511,0,1,1
20900,0.218511,0.218625,1,1,1
21000,0.218511,0.218625,1,1,1
21100,0.218511,0.000924,0,0,1
21200,0.218511,0.000797,0,0,1
21300,0.218511,0.000805,0,0,1
21400,0.218511,0.000794,0,0,1
21500,0.218511,0.000762,0,0,1
21600,0.218511,0.000785,0,0,1
21700,0.218511,0.000805,0,0,1
21800,0.218511,0.000805,0,0,1
21900,0.218511,0.000805,0,0,1
22000,0.218511,0.000857,0,0,1
22100,0.218511,0.000862,0,0,1
22200,0.218511,0.000896,0,0,1
22300,0.218511,0.411397,1,1,1
22400,0.218511,0.202511,0,1,1
22500,0.218511,0.397511,1,1,1
22600,0.218511,0.218625,1,1,1
22700,0.218511,0.196373,0,1,1
22800,0.218511,0.283354,1,1,1
22900,0.218511,0.223235,1,1,1
23000,0.218511,0.221384,1,1,1
23100,0.218511,0.218625,1,1,1
23200,0.218511,0.218625,1,1,1
23300,0.218511,0.202511,0,1,1
23400,0.218511,0.283354,1,1,1
23500,0.218511,0.218625,1,1,1
23600,0.218511,0.222585,1,1,1
23700,0.218511,0.218625,1,1,1
23800,0.218511,0.218625,1,1,1
23900,0.218511,0.202511,0,1,1
24000,0.218511,0.218625,1,1,1
24100,0.218511,0.202511,0,1,1
24200,0.218511,0.223235,1,1,1
24300,0.218511,0.218625,1,1,1
24400,0.218511,0.265969,1,1,1
24500,0.218511,0.218625,1,1,1
24600,0.218511,0.426376,1,1,1
24700,0.218511,0.218625,1,1,1
24800,0.218511,0.770316,1,1,1
24900,0.218511,0.202511,0,1,1
25000,0.218511,0.218625,1,1,1
25100,0.218511,0.660178,1,1,1
25200,0.218511,0.218625,1,1,1
25300,0.218511,0.202511,0,1,1
25400,0.218511,0.861227,1,1,1
25500,0.218511,0.218625,1,1,1
25600,0.218511,0.223235,1,1,1
25700,0.218511,0.218625,1,1,1
25800,0.218511,0.223235,1,1,1
25900,0.218511,0.391155,1,1,1
26000,0.218511,0.218625,1,1,1
26100,0.218511,0.218625,1,1,1
26200,0.218511,0.274292,1,1,1
26300,0.218511,0.300698,1,1,1
26400,0.218511,0.202511,0,1,1
26500,0.218511,0.202511,0,1,1
26600,0.218511,0.391155,1,1,1
26700,0.218511,0.293307,1,1,1
26800,0.218511,0.218625,1,1,1
26900,0.218511,0.202511,0,1,1
27000,0.218511,0.426376,1,1,1
27100,0.218511,0.389922,1,1,1
27200,0.218511,0.218625,1,1,1
27300,0.218511,0.702071,1,1,1
27400,0.218511,0.138926,0,1,1
27500,0.218511,0.223235,1,1,1
27600,0.218511,0.218625,1,1,1
27700,0.218511,0.391155,1,1,1
27800,0.218511,0.218625,1,1,1
27900,0.218511,0.210115,0,1,1
28000,0.218511,0.218625,1,1,1
28100,0.218511,0.202511,0,1,1
28200,0.218511,0.210115,0,1,1
28300,0.218511,0.218625,1,1,1
28400,0.218511,0.218625,1,1,1
28500,0.218511,0.202511,0,1,1
28600,0.218511,0.218625,1,1,1
28700,0.218511,0.218625,1,1,1
28800,0.218511,0.214594,0,1,1
28900,0.218511,0.218625,1,1,1
29000,0.218511,0.218625,1,1,1
29100,0.218511,0.218625,1,1,1
29200,0.218511,0.218625,1,1,1
29300,0.218511,0.218625,1,1,1
29400,0.218511,0.218625,1,1,1
29500,0.218511,0.202511,0,1,1
29600,0.218511,0.218625,1,1,1
29700,0.218511,0.223235,1,1,1
29800,0.218511,0.202511,0,1,1
29900,0.218511,0.218625,1,1,1
30000,0.218511,0.218625,1,1,1
30100,0.218511,0.218625,1,1,1
30200,0.218511,0.202511,0,1,1
30300,0.218511,0.218625,1,1,1
30400,0.218511,0.218625,1,1,1
30500,0.218511,0.202511,0,1,1
30600,0.218511,0.000805,0,0,1
30700,0.218511,0.000805,0,0,1
30800,0.218511,0.000805,0,0,1
30900,0.5,0.000805,0,0,0
31000,0.5,0.012921,0,0,0
31100,0.5,0.000805,0,0,0
31200,0.5,0.000809,0,0,0
31300,0.5,0.000805,0,0,0
31400,0.5,0.000783,0,0,0
31500,0.5,0.000857,0,0,0
31600,0.5,0.000857,0,0,0
31700,0.5,0.000862,0,0,0
31800,0.5,0.002457,0,0,0
31900,0.5,0.00198,0,0,0
32000,0.5,0.001942,0,0,0
32100,0.5,0.001406,0,0,0
32200,0.5,0.001745,0,0,0
32300,0.426852,0.001739,0,0,0
32400,0.426376,0.00198,0,0,0
32500,0.426094,0.002785,0,0,0
32600,0.410107,0.000862,0,0,0
32700,0.391155,0.000862,0,0,0
32800,0.223235,0.000857,0,0,0
32900,0.223235,0.000792,0,0,0
33000,0.223235,0.426091,1,1,0
33100,0.387041,0.218625,0,1,0
33200,0.397089,0.218625,0,1,0
33300,0.397319,0.202682,0,1,1
33400,0.397319,0.218625,0,1,1
33500,0.397319,0.202511,0,1,1
33600,0.397319,0.223235,0,1,1
33700,0.397319,0.202511,0,1,1
33800,0.397319,0.218625,0,1,1
33900,0.397319,0.300698,0,1,1
34000,0.397319,0.402667,1,1,1
34100,0.397319,0.397511,1,1,1
34200,0.397319,0.391155,0,1,1
34300,0.397319,0.218625,0,1,1
34400,0.397319,0.203872,0,1,1
34500,0.397319,0.202511,0,1,1
34600,0.397319,0.202511,0,1,1
34700,0.397319,0.224247,0,1,1
34800,0.397319,0.202511,0,1,1
34900,0.397319,0.218625,0,1,1
35000,0.397319,0.218625,0,1,1
35100,0.397319,0.218625,0,1,1
35200,0.397319,0.202511,0,1,1
35300,0.397319,0.202511,0,1,1
35400,0.397319,0.230258,0,1,1
35500,0.397319,0.218807,0,1,1
35600,0.397319,0.218625,0,1,1
35700,0.397319,0.397144,0,1,1
35800,0.397319,0.223347,0,1,1
35900,0.397319,0.154367,0,1,1
36000,0.397319,0.402667,1,1,1
36100,0.397319,0.411827,1,1,1
36200,0.397319,0.283354,0,1,1
36300,0.397319,0.250626,0,1,1
36400,0.397319,0.283354,0,1,1
36500,0.397319,0.250626,0,1,1
36600,0.397319,0.418218,1,1,1
36700,0.397319,0.221384,0,1,1
36800,0.397319,0.194471,0,1,1
36900,0.397319,0.202511,0,1,1
37000,0.397319,0.202511,0,1,1
37100,0.397319,0.218625,0,1,1
37200,0.397319,0.194471,0,1,1
37300,0.397319,0.218625,0,1,1
37400,0.397319,0.218625,0,1,1
37500,0.397319,0.218625,0,1,1
37600,0.397319,0.196373,0,1,1
37700,0.397319,0.218625,0,1,1
37800,0.397319,0.218625,0,1,1
37900,0.397319,0.218625,0,1,1
38000,0.397319,0.218625,0,1,1
38100,0.397319,0.194471,0,1,1
38200,0.397319,0.218625,0,1,1
38300,0.5,0.218625,0,1,0
38400,0.5,0.218625,0,1,0
38500,0.5,0.218625,0,1,0
38600,0.5,0.218625,0,1,0
38700,0.5,0.214594,0,1,0
38800,0.5,0.202511,0,1,0
38900,0.5,0.218625,0,1,0
39000,0.5,0.202511,0,1,0
39100,0.5,0.210115,0,1,0
39200,0.5,0.210115,0,1,0
39300,0.5,0.218625,0,1,0
39400,0.5,0.218625,0,1,0
39500,0.5,0.218625,0,1,0
39600,0.5,0.000805,0,0,0
39700,0.5,0.000805,0,0,0
39800,0.5,0.000769,0,0,0
39900,0.5,0.032902,0,0,0
40000,0.5,0.000805,0,0,0
40100,0.5,0.000805,0,0,0
40200,0.5,0.001024,0,0,0
40300,0.5,0.000805,0,0,0
40400,0.5,0.00439,0,0,0
40500,0.5,0.002746,0,0,0
40600,0.5,0.000785,0,0,0
40700,0.5,0.000805,0,0,0
40800,0.5,0.000805,0,0,0
40900,0.5,0.000805,0,0,0
41000,0.5,0.000805,0,0,0
41100,0.5,0.001565,0,0,0
41200,0.5,0.000862,0,0,0
41300,0.5,0.002785,0,0,0
41400,0.426422,0.001565,0,0,0
41500,0.426376,0.000918,0,0,0
41600,0.426376,0.001565,0,0,0
41700,0.402707,0.00198,0,0,0
41800,0.272526,0.00286,0,0,0
41900,0.223235,0.001565,0,0,0
42000,0.223235,0.000862,0,0,0
42100,0.223235,0.002457,0,0,0
42200,0.223235,0.001567,0,0,0
42300,0.223235,0.000862,0,0,0
42400,0.223235,0.001565,0,0,0
42500,0.223235,0.000908,0,0,0
42600,0.223235,0.003071,0,0,0
42700,0.223235,0.391155,1,1,0
42800,0.283156,0.218625,0,1,0
42900,0.296166,0.218625,0,1,1
43000,0.296166,0.426376,1,1,1
43100,0.296166,0.202511,0,1,1
43200,0.296166,0.218625,0,1,1
43300,0.296166,0.218625,0,1,1
43400,0.296166,0.218625,0,1,1
43500,0.296166,0.218807,0,1,1
43600,0.296166,0.202511,0,1,1
43700,0.296166,0.218625,0,1,1
43800,0.296166,0.419234,1,1,1
43900,0.296166,0.218625,0,1,1
44000,0.296166,0.389922,1,1,1
44100,0.296166,0.306736,1,1,1
44200,0.296166,0.226256,0,1,1
44300,0.296166,0.202511,0,1,1
44400,0.296166,0.218625,0,1,1
44500,0.296166,0.218625,0,1,1
44600,0.296166,0.218625,0,1,1
44700,0.296166,0.154367,0,1,1
44800,0.296166,0.202511,0,1,1
44900,0.296166,0.218625,0,1,1
45000,0.296166,0.202511,0,1,1
45100,0.296166,0.218625,0,1,1
45200,0.296166,0.426376,1,1,1
45300,0.296166,0.210115,0,1,1
45400,0.296166,0.300698,1,1,1
45500,0.296166,0.26028,0,1,1
45600,0.296166,0.744898,1,1,1
45700,0.296166,0.206139,0,1,1
45800,0.296166,0.194471,0,1,1
45900,0.296166,0.252598,0,1,1
46000,0.296166,0.233201,0,1,1
46100,0.296166,0.283354,0,1,1
46200,0.296166,0.397511,1,1,1
46300,0.296166,0.16111,0,1,1
46400,0.296166,0.426376,1,1,1
46500,0.296166,0.210115,0,1,1
46600,0.296166,0.202511,0,1,1
46700,0.296166,0.218625,0,1,1
46800,0.296166,0.218625,0,1,1
46900,0.296166,0.218625,0,1,1
47000,0.296166,0.218625,0,1,1
47100,0.296166,0.210115,0,1,1
47200,0.296166,0.210115,0,1,1
47300,0.296166,0.218625,0,1,1
47400,0.296166,0.202511,0,1,1
47500,0.296166,0.218625,0,1,1
47600,0.296166,0.202511,0,1,1
47700,0.296166,0.218625,0,1,1
47800,0.296166,0.218625,0,1,1
47900,0.346166,0.202511,0,1,0
48000,0.5,0.218625,0,1,0
48100,0.5,0.202511,0,1,0
48200,0.5,0.210115,0,1,0
48300,0.5,0.210115,0,1,0
48400,0.5,0.218625,0,1,0
48500,0.5,0.218625,0,1,0
48600,0.5,0.218625,0,1,0
48700,0.5,0.218625,0,1,0
48800,0.5,0.202511,0,1,0
48900,0.5,0.210115,0,1,0
49000,0.5,0.218625,0,1,0
49100,0.5,0.202511,0,1,0
49200,0.5,0.218625,0,1,0
49300,0.5,0.000915,0,0,0
49400,0.5,0.000805,0,0,0
49500,0.5,0.000805,0,0,0
49600,0.5,0.000805,0,0,0
49700,0.5,0.000805,0,0,0
49800,0.5,0.005509,0,0,0
49900,0.5,0.000834,0,0,0
50000,0.5,0.000805,0,0,0
50100,0.5,0.000793,0,0,0
50200,0.5,0.00105,0,0,0
50300,0.5,0.000805,0,0,0
50400,0.5,0.000862,0,0,0
50500,0.5,0.000862,0,0,0
50600,0.5,0.001401,0,0,0
50700,0.438844,0.001,0,0,0
50800,0.432151,0.001565,0,0,0
50900,0.432149,0.001565,0,0,0
51000,0.432084,0.000857,0,0,0
51100,0.426376,0.001565,0,0,0
51200,0.426376,0.002458,0,0,0
51300,0.426376,0.000857,0,0,0
51400,0.223871,0.001565,0,0,0
51500,0.223235,0.000857,0,0,0
51600,0.223235,0.001565,0,0,0
51700,0.223235,0.002208,0,0,0
51800,0.223235,0.000811,0,0,0
51900,0.223235,0.000805,0,0,0
52000,0.223235,0.000942,0,0,0
52100,0.223235,0.283354,1,1,0
52200,0.283329,0.218625,0,1,0
52300,0.396011,0.218625,0,1,1
52400,0.396011,0.218625,0,1,1
52500,0.396011,0.218625,0,1,1
52600,0.396011,0.300698,0,1,1
52700,0.396011,0.218625,0,1,1
52800,0.396011,0.397511,1,1,1
52900,0.396011,0.218625,0,1,1
53000,0.396011,0.218625,0,1,1
53100,0.396011,0.218625,0,1,1
53200,0.396011,0.397511,1,1,1
53300,0.396011,0.22228,0,1,1
53400,0.396011,0.218625,0,1,1
53500,0.396011,0.300698,0,1,1
53600,0.396011,0.218625,0,1,1
53700,0.396011,0.202511,0,1,1
53800,0.396011,0.218625,0,1,1
53900,0.396011,0.192745,0,1,1
54000,0.396011,0.283354,0,1,1
54100,0.396011,0.218625,0,1,1
54200,0.396011,0.202511,0,1,1
54300,0.396011,0.426376,1,1,1
54400,0.396011,0.218625,0,1,1
54500,0.396011,0.202511,0,1,1
54600,0.396011,0.243889,0,1,1
54700,0.396011,0.761127,1,1,1
54800,0.396011,0.241912,0,1,1
54900,0.396011,0.16111,0,1,1
55000,0.396011,0.426091,1,1,1
55100,0.396011,0.224035,0,1,1
55200,0.396011,0.283354,0,1,1
55300,0.396011,0.232276,0,1,1
55400,0.396011,0.16111,0,1,1
55500,0.396011,0.389922,0,1,1
55600,0.396011,0.761127,1,1,1
55700,0.396011,0.387224,0,1,1
55800,0.396011,0.210115,0,1,1
55900,0.396011,0.218625,0,1,1
56000,0.396011,0.218625,0,1,1
56100,0.396011,0.218625,0,1,1
56200,0.396011,0.218625,0,1,1
56300,0.396011,0.202511,0,1,1
56400,0.396011,0.194471,0,1,1
56500,0.396011,0.218625,0,1,1
56600,0.396011,0.218625,0,1,1
56700,0.396011,0.218625,0,1,1
56800,0.396011,0.202511,0,1,1
56900,0.396011,0.218625,0,1,1
57000,0.396011,0.218625,0,1,1
57100,0.396011,0.218625,0,1,1
57200,0.396011,0.218625,0,1,1
57300,0.5,0.218625,0,1,0
57400,0.5,0.218625,0,1,0
57500,0.5,0.202511,0,1,0
57600,0.5,0.218625,0,1,0
57700,0.5,0.218625,0,1,0
57800,0.5,0.218625,0,1,0
57900,0.5,0.218625,0,1,0
58000,0.5,0.194471,0,1,0
58100,0.5,0.194471,0,1,0
58200,0.5,0.202511,0,1,0
58300,0.5,0.202511,0,1,0
58400,0.5,0.202511,0,1,0
58500,0.5,0.194471,0,1,0
58600,0.5,0.002321,0,0,0
58700,0.5,0.000959,0,0,0
58800,0.5,0.000805,0,0,0
58900,0.5,0.000805,0,0,0
59000,0.5,0.006274,0,0,0
59100,0.5,0.004047,0,0,0
59200,0.5,0.000805,0,0,0
59300,0.5,0.000805,0,0,0
59400,0.5,0.000805,0,0,0
59500,0.5,0.001406,0,0,0
59600,0.5,0.000862,0,0,0
59700,0.5,0.000908,0,0,0
59800,0.5,0.001597,0,0,0
59900,0.5,0.001401,0,0,0
60000,0.5,0.000862,0,0,0
60100,0.5,0.001565,0,0,0
60200,0.5,0.001,0,0,0
60300,0.5,0.000857,0,0,0
60400,0.426376,0.001739,0,0,0
60500,0.426376,0.000862,0,0,0
60600,0.401264,0.002458,0,0,0
60700,0.39709,0.001565,0,0,0
60800,0.223235,0.000857,0,0,0
60900,0.223235,0.002785,0,0,0
61000,0.223235,0.000969,0,0,0
61100,0.223235,0.000932,0,0,0
61200,0.223235,0.418218,1,1,0
61300,0.405984,0.218625,0,1,0
61400,0.418215,0.223347,0,1,0
61500,0.42609,0.218625,0,1,1
61600,0.42609,0.218625,0,1,1
61700,0.42609,0.218625,0,1,1
61800,0.42609,0.387224,0,1,1
61900,0.42609,0.218625,0,1,1
62000,0.42609,0.202511,0,1,1
62100,0.42609,0.202511,0,1,1
62200,0.42609,0.160186,0,1,1
62300,0.42609,0.218625,0,1,1
62400,0.42609,0.218625,0,1,1
62500,0.42609,0.217131,0,1,1
62600,0.42609,0.465568,1,1,1
62700,0.42609,0.202511,0,1,1
62800,0.42609,0.265969,0,1,1
62900,0.42609,0.418218,0,1,1
63000,0.42609,0.218625,0,1,1
63100,0.42609,0.218625,0,1,1
63200,0.42609,0.218625,0,1,1
63300,0.42609,0.16111,0,1,1
63400,0.42609,0.283354,0,1,1
63500,0.42609,0.250626,0,1,1
63600,0.42609,0.202511,0,1,1
63700,0.42609,0.218625,0,1,1
63800,0.42609,0.4386,1,1,1
63900,0.42609,0.283354,0,1,1
64000,0.42609,0.154367,0,1,1
64100,0.42609,0.426376,1,1,1
64200,0.42609,0.674462,1,1,1
64300,0.42609,0.387224,0,1,1
64400,0.42609,0.39709,0,1,1
64500,0.42609,0.283354,0,1,1
64600,0.42609,0.426376,1,1,1
64700,0.42609,0.762245,1,1,1
64800,0.42609,0.418218,0,1,1
64900,0.42609,0.391155,0,1,1
65000,0.42609,0.282669,0,1,1
65100,0.42609,0.389922,0,1,1
65200,0.42609,0.218625,0,1,1
65300,0.42609,0.218625,0,1,1
65400,0.42609,0.202511,0,1,1
65500,0.42609,0.210115,0,1,1
65600,0.42609,0.218625,0,1,1
65700,0.42609,0.218625,0,1,1
65800,0.42609,0.218625,0,1,1
65900,0.42609,0.218625,0,1,1
66000,0.42609,0.202511,0,1,1
66100,0.42609,0.218625,0,1,1
66200,0.42609,0.210115,0,1,1
66300,0.42609,0.218625,0,1,1
66400,0.42609,0.202511,0,1,1
66500,0.5,0.218625,0,1,0
66600,0.5,0.202511,0,1,0
66700,0.5,0.194471,0,1,0
66800,0.5,0.218625,0,1,0
66900,0.5,0.210115,0,1,0
67000,0.5,0.218625,0,1,0
67100,0.5,0.202511,0,1,0
67200,0.5,0.218625,0,1,0
67300,0.5,0.202511,0,1,0
67400,0.5,0.210115,0,1,0
67500,0.5,0.214594,0,1,0
67600,0.5,0.202511,0,1,0
67700,0.5,0.218625,0,1,0
67800,0.5,0.202511,0,1,0
67900,0.5,0.210115,0,1,0
68000,0.5,0.210115,0,1,0
68100,0.5,0.218625,0,1,0
68200,0.5,0.018128,0,0,0
68300,0.5,0.000805,0,0,0
68400,0.5,0.000805,0,0,0
68500,0.5,0.000805,0,0,0
68600,0.5,0.003347,0,0,0
68700,0.5,0.000805,0,0,0
68800,0.5,0.001457,0,0,0
68900,0.5,0.000805,0,0,0
69000,0.5,0.002304,0,0,0
69100,0.5,0.001942,0,0,0
69200,0.5,0.000862,0,0,0
69300,0.5,0.000857,0,0,0
69400,0.5,0.000913,0,0,0
69500,0.5,0.002785,0,0,0
69600,0.5,0.002457,0,0,0
69700,0.5,0.000908,0,0,0
69800,0.5,0.001739,0,0,0
69900,0.5,0.000862,0,0,0
70000,0.499282,0.000862,0,0,0
70100,0.499282,0.000857,0,0,0
70200,0.223235,0.00198,0,0,0
70300,0.223235,0.000896,0,0,0
70400,0.331319,0.218625,0,1,0
70500,0.426089,0.218625,0,1,0
70600,0.426091,0.391155,0,1,0
70700,0.426376,0.283354,0,1,0
70800,0.426376,0.283354,0,1,0
70900,0.426376,0.260056,0,1,0
71000,0.426376,0.218625,0,1,0
71100,0.426376,0.389922,0,1,0
71200,0.426376,0.770316,1,1,0
71300,0.426376,0.218625,0,1,0
71400,0.426376,0.283354,0,1,0
71500,0.426376,0.418218,0,1,0
71600,0.426376,0.218625,0,1,0
71700,0.426376,0.224247,0,1,0
71800,0.426376,0.218625,0,1,0
71900,0.480043,0.218625,0,1,0
72000,0.480043,0.218625,0,1,0
72100,0.480043,0.202511,0,1,0
72200,0.480043,0.218625,0,1,0
72300,0.480043,0.391155,0,1,0
72400,0.5,0.160186,0,1,0
72500,0.5,0.465199,0,1,0
72600,0.5,0.196373,0,1,0
72700,0.5,0.250626,0,1,0
72800,0.5,0.218625,0,1,0
72900,0.5,0.218625,0,1,0
73000,0.5,0.283354,0,1,0
73100,0.5,0.283354,0,1,0
73200,0.5,0.230258,0,1,0
73300,0.5,0.391155,0,1,0
73400,0.5,0.283354,0,1,0
73500,0.5,0.426376,0,1,0
73600,0.5,0.75451,1,1,0
73700,0.5,0.24517,0,1,0
73800,0.5,0.39709,0,1,0
73900,0.5,0.283354,0,1,0
74000,0.5,0.250626,0,1,0
74100,0.5,0.770316,1,1,0
74200,0.5,0.300698,0,1,0
74300,0.5,0.39709,0,1,0
74400,0.5,0.218625,0,1,1
74500,0.5,0.218625,0,1,1
